id,Age
74051,12
74052,8
74053,11
74054,11
74055,8
74056,14
74057,12
74058,9
74059,13
74060,10
74061,16
74062,11
74063,5
74064,13
74065,5
74066,7
74067,12
74068,13
74069,11
74070,11
74071,17
74072,10
74073,9
74074,9
74075,13
74076,11
74077,14
74078,12
74079,9
74080,11
74081,11
74082,11
74083,11
74084,12
74085,12
74086,8
74087,10
74088,15
74089,10
74090,10
74091,7
74092,10
74093,10
74094,10
74095,15
74096,14
74097,7
74098,6
74099,14
74100,10
74101,11
74102,9
74103,11
74104,11
74105,10
74106,12
74107,10
74108,6
74109,12
74110,5
74111,11
74112,7
74113,9
74114,10
74115,10
74116,11
74117,14
74118,11
74119,9
74120,18
74121,10
74122,7
74123,14
74124,5
74125,8
74126,8
74127,13
74128,11
74129,9
74130,11
74131,11
74132,8
74133,12
74134,13
74135,5
74136,7
74137,6
74138,16
74139,11
74140,15
74141,10
74142,12
74143,15
74144,19
74145,11
74146,8
74147,10
74148,5
74149,12
74150,8
74151,9
74152,15
74153,12
74154,7
74155,7
74156,14
74157,11
74158,13
74159,10
74160,16
74161,9
74162,12
74163,10
74164,9
74165,11
74166,10
74167,11
74168,12
74169,12
74170,11
74171,14
74172,12
74173,10
74174,12
74175,10
74176,11
74177,13
74178,15
74179,12
74180,7
74181,9
74182,12
74183,8
74184,12
74185,14
74186,11
74187,10
74188,13
74189,7
74190,9
74191,11
74192,13
74193,10
74194,4
74195,14
74196,15
74197,10
74198,8
74199,10
74200,12
74201,9
74202,13
74203,10
74204,12
74205,10
74206,9
74207,9
74208,12
74209,17
74210,11
74211,7
74212,10
74213,10
74214,14
74215,9
74216,8
74217,15
74218,13
74219,9
74220,16
74221,8
74222,11
74223,10
74224,10
74225,12
74226,10
74227,11
74228,5
74229,13
74230,12
74231,8
74232,11
74233,7
74234,10
74235,12
74236,8
74237,9
74238,10
74239,7
74240,8
74241,8
74242,14
74243,12
74244,7
74245,10
74246,10
74247,9
74248,9
74249,16
74250,11
74251,15
74252,9
74253,14
74254,11
74255,11
74256,12
74257,15
74258,5
74259,14
74260,10
74261,10
74262,4
74263,11
74264,11
74265,12
74266,9
74267,12
74268,9
74269,8
74270,9
74271,12
74272,15
74273,9
74274,13
74275,9
74276,9
74277,9
74278,15
74279,12
74280,11
74281,16
74282,13
74283,13
74284,9
74285,9
74286,11
74287,12
74288,13
74289,9
74290,11
74291,12
74292,11
74293,12
74294,10
74295,15
74296,14
74297,11
74298,16
74299,14
74300,9
74301,12
74302,11
74303,10
74304,12
74305,9
74306,9
74307,8
74308,11
74309,10
74310,18
74311,9
74312,14
74313,12
74314,11
74315,10
74316,10
74317,10
74318,16
74319,13
74320,8
74321,9
74322,11
74323,11
74324,14
74325,8
74326,9
74327,12
74328,15
74329,10
74330,8
74331,6
74332,10
74333,15
74334,14
74335,15
74336,10
74337,9
74338,10
74339,10
74340,10
74341,9
74342,9
74343,8
74344,11
74345,11
74346,8
74347,14
74348,11
74349,10
74350,11
74351,15
74352,13
74353,10
74354,12
74355,7
74356,7
74357,10
74358,9
74359,8
74360,10
74361,11
74362,8
74363,10
74364,11
74365,5
74366,5
74367,12
74368,9
74369,10
74370,11
74371,11
74372,11
74373,13
74374,10
74375,7
74376,12
74377,10
74378,16
74379,14
74380,10
74381,10
74382,12
74383,9
74384,11
74385,10
74386,15
74387,12
74388,8
74389,10
74390,7
74391,9
74392,9
74393,12
74394,8
74395,10
74396,10
74397,7
74398,10
74399,12
74400,12
74401,10
74402,9
74403,10
74404,8
74405,15
74406,5
74407,9
74408,9
74409,14
74410,11
74411,11
74412,10
74413,11
74414,12
74415,14
74416,10
74417,17
74418,10
74419,12
74420,11
74421,9
74422,6
74423,10
74424,8
74425,10
74426,11
74427,10
74428,10
74429,16
74430,6
74431,5
74432,11
74433,16
74434,14
74435,12
74436,13
74437,10
74438,11
74439,9
74440,12
74441,10
74442,12
74443,8
74444,10
74445,13
74446,14
74447,10
74448,4
74449,7
74450,11
74451,14
74452,11
74453,6
74454,10
74455,10
74456,12
74457,7
74458,8
